23321_2|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Bin 1: <4.44, bin 2: >=4.44AND < 4.5, bin 3: >=4.5 || cat N: 13286, 3905, 23370 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25149_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25150_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25151_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25152_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25153_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25154_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25155_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25156_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25157_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25158_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25159_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25160_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25161_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25162_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25163_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25164_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25165_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25166_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25167_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25168_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25169_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25170_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25171_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25172_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25173_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25174_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25175_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25176_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25177_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25178_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25179_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25180_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25181_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25182_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25183_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25184_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25185_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25186_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25187_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25188_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25189_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25190_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25191_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25192_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25193_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25194_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25195_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25196_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25197_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25198_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25199_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25200_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25201_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25202_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25203_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25204_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25205_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25206_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25207_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25208_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25209_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25210_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25211_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25212_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25213_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25214_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25215_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25216_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25217_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25218_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25219_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25220_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25221_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25222_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25223_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25224_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25225_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25226_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25227_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25228_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25229_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25230_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25231_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25232_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25233_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25234_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25235_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25236_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25237_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25238_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25239_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25240_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25241_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25242_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25243_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25244_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25245_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25246_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25247_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25248_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25249_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25250_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25251_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25252_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25253_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25254_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25255_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25256_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25257_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25258_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25259_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25260_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25261_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25262_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25263_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25264_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25265_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25266_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25267_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
